new_cases,PRECIPITATION,REL_HUMIDITY,MAX_TEMP,MIN_TEMP,MAX_WIND_SPEED,WIND_S50M,SOLAR1_INS_CLEAR_IND,SOLAR2_ALL_SKY_II,SOLAR3_DWN_THERM_IR,Level
0,0,72.89,2.69,-8.48,4.24,3.32,0.53,2.44,5.97,Level1
0,0,70.81,3.04,-8.4,2.44,2.22,0.47,2.15,6.05,Level1
17,0,58.96,5.21,-5.28,3.37,2.83,0.55,2.55,5.74,Level1
0,0.4,80.06,3.69,-3.71,7.62,6.97,0.65,3.04,5.97,Level1
15,0.42,63.76,0.61,-6.26,4.95,4.26,0.33,1.52,6.63,Level1
0,0.69,68.63,-2.37,-9.05,4.45,3.1,0.51,2.4,5.72,Level1
0,0.06,69.65,2.94,-10.17,4.44,3.49,0.69,3.25,4.96,Level1
0,0.04,77.21,2.41,-7.34,4.83,5.12,0.67,3.2,5.62,Level1
0,1.04,79.23,-0.25,-7.48,4.89,3.42,0.24,1.15,6.64,Level1
0,1.24,80.31,-4.31,-9.31,2.82,2.31,0.28,1.33,6.2,Level1
0,0.02,52.82,4.04,-10.95,4.99,4.25,0.55,2.68,4.68,Level1
0,0.04,62.5,-0.34,-10.67,3.34,3.43,0.56,2.7,5.37,Level1
0,0.12,71.36,0.95,-12.5,4.56,3.32,0.67,3.27,4.99,Level1
0,0,80.59,1.96,-9.42,7.49,6.05,0.38,1.88,5.99,Level1
0,0.19,79.53,-1.1,-8.53,5.28,2.9,0.16,0.78,5.79,Level1
0,0.01,73.79,2.39,-9.84,3.97,2.93,0.68,3.38,5.03,Level1
4,0,77.95,1.84,-10.84,4.34,3.18,0.6,3.04,5.45,Level1
17,0.15,71.95,-5.12,-9.48,7.28,4.54,0.34,1.73,5.61,Level1
136,0.02,64.25,-1.31,-8.96,2.5,1.97,0.6,3.07,5.01,Level1
19,0.01,74.03,0.86,-9.57,4.76,4.02,0.61,3.14,5.25,Level1
151,0,66.06,3.98,-7.36,3.04,2.54,0.7,3.65,4.83,Level1
140,0,66.69,3.95,-7.64,3.17,3.35,0.7,3.65,4.87,Level1
97,2.38,75.46,-2.48,-7.72,3.51,3.27,0.34,1.76,6.12,Level1
259,0.39,78.49,-1.83,-8.57,2.97,2.24,0.28,1.49,5.7,Level1
441,0.04,75.44,1.74,-10.23,4.95,4.58,0.39,2.1,5.91,Level1
665,0.03,73.68,0.49,-9.79,4.47,4.41,0.22,1.19,6.06,Level1
787,0.01,68.15,0.1,-9.98,2.96,2.37,0.59,3.21,5,Level1
1753,0,63.17,1.5,-9.99,3.28,2.32,0.71,3.89,4.7,Level1
1466,0,54.46,3.01,-9.53,3.4,3.29,0.72,4,4.49,Level1
1740,0,56.4,4.17,-9.55,4.38,4.13,0.73,4.05,4.62,Level1
1980,0.09,76.59,2.48,-8.21,3.48,3.23,0.68,3.82,5.43,Level1
2095,0.15,74.41,0.82,-5.35,6.18,3.9,0.25,1.44,6.23,Level2
2590,0.12,59.96,-0.71,-8.96,4.02,3.22,0.67,3.83,5.02,Level2
2812,0,42.54,4.88,-10.81,4.95,5.24,0.74,4.27,4.36,Level2
3237,0,47.75,4.57,-9.91,4.13,3.63,0.72,4.21,4.83,Level2
3872,0.35,80.25,0.85,-7.4,3.06,2.97,0.22,1.31,5.89,Level2
3727,0.03,71.08,3.57,-8.51,5.08,4.58,0.6,3.54,5.95,Level2
3160,0.09,65.41,4.22,-7.12,3.36,2.78,0.71,4.25,5.63,Level2
3418,0.29,57.04,1.84,-5.58,2.71,2.69,0.71,4.28,5.76,Level2
2607,0,56.3,6.14,-6.72,4.07,4.18,0.73,4.42,4.95,Level2
2974,0,53.87,7.57,-4.39,3.17,3.73,0.69,4.24,5.4,Level2
